model,source_path,count,control,metric,selected_value,control_value,selected_minus_control
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,32,random_copy_bos,inserted_attention_mean,0.4739857117335002,0.4571597184985876,0.016825993234912573
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,32,random_copy_bos,inserted_minus_bos_mean,0.47123041686912376,0.44298250662783784,0.028247910241285923
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,32,ordinary_repeat_only,ppl_ratio_vs_clean,1.3847937019643848,1.0482115290430372,0.3365821729213476
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,32,ordinary_repeat_only,inserted_attention_mean,0.4739857117335002,0.14666002639569342,0.32732568533780676
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,32,ordinary_repeat_only,inserted_minus_bos_mean,0.47123041686912376,-0.07700041204225272,0.5482308289113764
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,64,bos_repeat_only,ppl_ratio_vs_clean,1.7540680269283246,1.76092261754167,-0.006854590613345257
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,64,bos_repeat_only,inserted_attention_mean,0.5162233710289001,0.5056306043018898,0.010592766727010372
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,64,bos_repeat_only,inserted_minus_bos_mean,0.5147679466754198,0.497909227386117,0.016858719289302826
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,64,random_copy_bos,ppl_ratio_vs_clean,1.7540680269283246,1.761312588707629,-0.007244561779304437
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,64,random_copy_bos,inserted_attention_mean,0.5162233710289001,0.5061676589151224,0.01005571211377776
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,64,random_copy_bos,inserted_minus_bos_mean,0.5147679466754198,0.49841680750250816,0.016351139172911644
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,64,ordinary_repeat_only,ppl_ratio_vs_clean,1.7540680269283246,1.1709681707892958,0.5830998561390288
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,64,ordinary_repeat_only,inserted_attention_mean,0.5162233710289001,0.2412356725350643,0.27498769849383586
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,64,ordinary_repeat_only,inserted_minus_bos_mean,0.5147679466754198,0.07586446491768584,0.43890348175773397
llama3_2_3b,outputs/sink_hijacking_attack/repeated_bos_prefix/llama3_2_3b_20260714/repeated_bos_prefix_metrics.csv,8,bos_repeat_only,ppl_ratio_vs_clean,1.6775723991051044,1.468111090842851,0.2094613082622534
llama3_2_3b,outputs/sink_hijacking_attack/repeated_bos_prefix/llama3_2_3b_20260714/repeated_bos_prefix_metrics.csv,8,bos_repeat_only,inserted_attention_mean,0.6550599901626507,0.5909459938605627,0.06411399630208803
llama3_2_3b,outputs/sink_hijacking_attack/repeated_bos_prefix/llama3_2_3b_20260714/repeated_bos_prefix_metrics.csv,8,bos_repeat_only,inserted_minus_bos_mean,0.6480632101496061,0.5170679747437438,0.13099523540586233
llama3_2_3b,outputs/sink_hijacking_attack/repeated_bos_prefix/llama3_2_3b_20260714/repeated_bos_prefix_metrics.csv,8,random_copy_bos,ppl_ratio_vs_clean,1.6775723991051044,1.4680487943366864,0.20952360476841791
llama3_2_3b,outputs/sink_hijacking_attack/repeated_bos_prefix/llama3_2_3b_20260714/repeated_bos_prefix_metrics.csv,8,random_copy_bos,inserted_attention_mean,0.6550599901626507,0.5909665363530318,0.06409345380961895
llama3_2_3b,outputs/sink_hijacking_attack/repeated_bos_prefix/llama3_2_3b_20260714/repeated_bos_prefix_metrics.csv,8,random_copy_bos,inserted_minus_bos_mean,0.6480632101496061,0.5170804943578938,0.13098271579171228
llama3_2_3b,outputs/sink_hijacking_attack/repeated_bos_prefix/llama3_2_3b_20260714/repeated_bos_prefix_metrics.csv,8,ordinary_repeat_only,ppl_ratio_vs_clean,1.6775723991051044,0.9926601770122924,0.684912222092812
llama3_2_3b,outputs/sink_hijacking_attack/repeated_bos_prefix/llama3_2_3b_20260714/repeated_bos_prefix_metrics.csv,8,ordinary_repeat_only,inserted_attention_mean,0.6550599901626507,0.0023989408570438777,0.6526610493056069
llama3_2_3b,outputs/sink_hijacking_attack/repeated_bos_prefix/llama3_2_3b_20260714/repeated_bos_prefix_metrics.csv,8,ordinary_repeat_only,inserted_minus_bos_mean,0.6480632101496061,-0.6235795694713792,1.2716427796209853
llama3_2_3b,outputs/sink_hijacking_attack/repeated_bos_prefix/llama3_2_3b_20260714/repeated_bos_prefix_metrics.csv,16,bos_repeat_only,ppl_ratio_vs_clean,2.3399743922836316,1.9628918096746237,0.37708258260900784
